"Time","Haustechnik.Stromzaehler_eHz.Wirkenergie_A_plus_total_Wh.mean"
2023-05-01 00:00:00,789180
2023-05-01 01:00:00,789568
2023-05-01 02:00:00,789925
2023-05-01 03:00:00,790272
2023-05-01 04:00:00,790612
2023-05-01 05:00:00,790956
2023-05-01 06:00:00,791321
2023-05-01 07:00:00,791829
2023-05-01 08:00:00,792976
2023-05-01 09:00:00,794274
2023-05-01 10:00:00,794957
2023-05-01 11:00:00,795572
2023-05-01 12:00:00,796050
2023-05-01 13:00:00,796478
2023-05-01 14:00:00,797016
2023-05-01 15:00:00,797426
2023-05-01 16:00:00,797905
2023-05-01 17:00:00,798761
2023-05-01 18:00:00,799805
2023-05-01 19:00:00,801217
2023-05-01 20:00:00,802133
2023-05-01 21:00:00,802796
2023-05-01 22:00:00,803218
2023-05-01 23:00:00,803579
2023-05-02 00:00:00,803986
2023-05-02 01:00:00,804400
2023-05-02 02:00:00,804764
2023-05-02 03:00:00,805099
2023-05-02 04:00:00,805431
2023-05-02 05:00:00,805768
2023-05-02 06:00:00,806118
2023-05-02 07:00:00,806655
2023-05-02 08:00:00,807347
2023-05-02 09:00:00,807830
2023-05-02 10:00:00,808285
2023-05-02 11:00:00,809163
2023-05-02 12:00:00,809664
2023-05-02 13:00:00,810804
2023-05-02 14:00:00,811791
2023-05-02 15:00:00,812917
2023-05-02 16:00:00,813719
2023-05-02 17:00:00,813719
2023-05-02 18:00:00,813719
2023-05-02 19:00:00,816042
2023-05-02 20:00:00,802554
2023-05-02 21:00:00,818343
2023-05-02 22:00:00,819416
2023-05-02 23:00:00,820003
2023-05-03 00:00:00,820416
2023-05-03 01:00:00,820758
2023-05-03 02:00:00,821070
2023-05-03 03:00:00,821381
2023-05-03 04:00:00,821694
2023-05-03 05:00:00,822033
2023-05-03 06:00:00,822358
2023-05-03 07:00:00,822601
2023-05-03 08:00:00,822601
2023-05-03 09:00:00,822601
2023-05-03 10:00:00,822601
2023-05-03 11:00:00,822601
2023-05-03 12:00:00,822601
2023-05-03 13:00:00,822601
2023-05-03 14:00:00,822601
2023-05-03 15:00:00,822601
2023-05-03 16:00:00,822601
2023-05-03 17:00:00,822601
2023-05-03 18:00:00,822601
2023-05-03 19:00:00,822716
2023-05-03 20:00:00,822854
2023-05-03 21:00:00,823579
2023-05-03 22:00:00,824624
2023-05-03 23:00:00,825156
2023-05-04 00:00:00,825508
2023-05-04 01:00:00,825842
2023-05-04 02:00:00,826168
2023-05-04 03:00:00,826525
2023-05-04 04:00:00,826849
2023-05-04 05:00:00,827175
2023-05-04 06:00:00,827368
2023-05-04 07:00:00,827411
2023-05-04 08:00:00,827436
2023-05-04 09:00:00,827565
2023-05-04 10:00:00,827565
2023-05-04 11:00:00,827565
2023-05-04 12:00:00,827565
2023-05-04 13:00:00,827565
2023-05-04 14:00:00,827565
2023-05-04 15:00:00,827565
2023-05-04 16:00:00,827565
2023-05-04 17:00:00,827565
2023-05-04 18:00:00,827565
2023-05-04 19:00:00,827798
2023-05-04 20:00:00,828121
2023-05-04 21:00:00,829149
2023-05-04 22:00:00,830230
2023-05-04 23:00:00,830927
2023-05-05 00:00:00,831316
2023-05-05 01:00:00,831674
2023-05-05 02:00:00,832018
2023-05-05 03:00:00,832341
2023-05-05 04:00:00,832670
2023-05-05 05:00:00,832996
2023-05-05 06:00:00,833215
2023-05-05 07:00:00,833318
2023-05-05 08:00:00,833318
2023-05-05 09:00:00,833385
2023-05-05 10:00:00,833424
2023-05-05 11:00:00,833483
2023-05-05 12:00:00,833483
2023-05-05 13:00:00,833483
2023-05-05 14:00:00,833483
2023-05-05 15:00:00,833483
2023-05-05 16:00:00,833483
2023-05-05 17:00:00,833499
2023-05-05 18:00:00,833940
2023-05-05 19:00:00,834972
2023-05-05 20:00:00,835883
2023-05-05 21:00:00,836893
2023-05-05 22:00:00,837824
2023-05-05 23:00:00,838341
2023-05-06 00:00:00,838706
2023-05-06 01:00:00,839129
2023-05-06 02:00:00,839507
2023-05-06 03:00:00,839820
2023-05-06 04:00:00,840116
2023-05-06 05:00:00,840416
2023-05-06 06:00:00,840681
2023-05-06 07:00:00,840810
2023-05-06 08:00:00,841094
2023-05-06 09:00:00,841094
2023-05-06 10:00:00,841094
2023-05-06 11:00:00,841094
2023-05-06 12:00:00,841094
2023-05-06 13:00:00,841094
2023-05-06 14:00:00,841094
2023-05-06 15:00:00,841094
2023-05-06 16:00:00,841094
2023-05-06 17:00:00,841109
2023-05-06 18:00:00,841268
2023-05-06 19:00:00,841396
2023-05-06 20:00:00,841568
2023-05-06 21:00:00,842312
2023-05-06 22:00:00,843152
2023-05-06 23:00:00,843733
2023-05-07 00:00:00,844131
2023-05-07 01:00:00,844478
2023-05-07 02:00:00,844804
2023-05-07 03:00:00,845123
2023-05-07 04:00:00,845497
2023-05-07 05:00:00,845876
2023-05-07 06:00:00,846185
2023-05-07 07:00:00,846315
2023-05-07 08:00:00,846938
2023-05-07 09:00:00,846938
2023-05-07 10:00:00,846938
2023-05-07 11:00:00,846938
2023-05-07 12:00:00,846938
2023-05-07 13:00:00,846938
2023-05-07 14:00:00,846938
2023-05-07 15:00:00,846938
2023-05-07 16:00:00,846938
2023-05-07 17:00:00,846938
2023-05-07 18:00:00,847448
2023-05-07 19:00:00,847759
2023-05-07 20:00:00,848597
2023-05-07 21:00:00,849496
2023-05-07 22:00:00,850148
2023-05-07 23:00:00,850626
2023-05-08 00:00:00,850972
2023-05-08 01:00:00,851299
2023-05-08 02:00:00,851649
2023-05-08 03:00:00,852031
2023-05-08 04:00:00,852360
2023-05-08 05:00:00,852679
2023-05-08 06:00:00,852906
2023-05-08 07:00:00,852993
2023-05-08 08:00:00,852993
2023-05-08 09:00:00,852993
2023-05-08 10:00:00,852993
2023-05-08 11:00:00,852993
2023-05-08 12:00:00,852993
2023-05-08 13:00:00,852993
2023-05-08 14:00:00,852993
2023-05-08 15:00:00,852993
2023-05-08 16:00:00,852993
2023-05-08 17:00:00,852993
2023-05-08 18:00:00,853006
2023-05-08 19:00:00,853059
2023-05-08 20:00:00,853408
2023-05-08 21:00:00,853928
2023-05-08 22:00:00,853928
2023-05-08 23:00:00,855906
2023-05-09 00:00:00,856386
2023-05-09 01:00:00,856767
2023-05-09 02:00:00,857110
2023-05-09 03:00:00,857450
2023-05-09 04:00:00,857783
2023-05-09 05:00:00,858111
2023-05-09 06:00:00,858279
2023-05-09 07:00:00,858354
2023-05-09 08:00:00,858354
2023-05-09 09:00:00,858354
2023-05-09 10:00:00,858354
2023-05-09 11:00:00,858354
2023-05-09 12:00:00,858354
2023-05-09 13:00:00,858354
2023-05-09 14:00:00,858354
2023-05-09 15:00:00,858369
2023-05-09 16:00:00,858369
2023-05-09 17:00:00,858369
2023-05-09 18:00:00,858537
2023-05-09 19:00:00,859152
2023-05-09 20:00:00,859961
2023-05-09 21:00:00,861252
2023-05-09 22:00:00,863289
2023-05-09 23:00:00,863725
2023-05-10 00:00:00,864258
2023-05-10 01:00:00,864651
2023-05-10 02:00:00,865010
2023-05-10 03:00:00,865362
2023-05-10 04:00:00,865796
2023-05-10 05:00:00,866220
2023-05-10 06:00:00,866532
2023-05-10 07:00:00,867236
2023-05-10 08:00:00,868009
2023-05-10 09:00:00,868127
2023-05-10 10:00:00,868127
2023-05-10 11:00:00,868127
2023-05-10 12:00:00,868127
2023-05-10 13:00:00,868152
2023-05-10 14:00:00,868175
2023-05-10 15:00:00,868195
2023-05-10 16:00:00,868195
2023-05-10 17:00:00,868195
2023-05-10 18:00:00,868195
2023-05-10 19:00:00,868223
2023-05-10 20:00:00,868348
2023-05-10 21:00:00,869195
2023-05-10 22:00:00,870074
2023-05-10 23:00:00,870616
2023-05-11 00:00:00,871030
2023-05-11 01:00:00,871433
2023-05-11 02:00:00,871829
2023-05-11 03:00:00,872191
2023-05-11 04:00:00,872597
2023-05-11 05:00:00,873044
2023-05-11 06:00:00,873408
2023-05-11 07:00:00,873765
2023-05-11 08:00:00,874012
2023-05-11 09:00:00,874099
2023-05-11 10:00:00,874108
2023-05-11 11:00:00,874108
2023-05-11 12:00:00,874108
2023-05-11 13:00:00,874108
2023-05-11 14:00:00,874108
2023-05-11 15:00:00,874212
2023-05-11 16:00:00,874396
2023-05-11 17:00:00,874533
2023-05-11 18:00:00,874645
2023-05-11 19:00:00,874849
2023-05-11 20:00:00,875419
2023-05-11 21:00:00,876408
2023-05-11 22:00:00,877161
2023-05-11 23:00:00,877656
2023-05-12 00:00:00,878068
2023-05-12 01:00:00,878443
2023-05-12 02:00:00,878783
2023-05-12 03:00:00,879150
2023-05-12 04:00:00,879585
2023-05-12 05:00:00,879967
2023-05-12 06:00:00,880264
2023-05-12 07:00:00,880543
2023-05-12 08:00:00,880543
2023-05-12 09:00:00,880543
2023-05-12 10:00:00,880543
2023-05-12 11:00:00,880543
2023-05-12 12:00:00,880543
2023-05-12 13:00:00,880543
2023-05-12 14:00:00,880543
2023-05-12 15:00:00,880543
2023-05-12 16:00:00,880543
2023-05-12 17:00:00,880543
2023-05-12 18:00:00,880543
2023-05-12 19:00:00,880543
2023-05-12 20:00:00,880543
2023-05-12 21:00:00,880543
2023-05-12 22:00:00,882059
2023-05-12 23:00:00,882591
2023-05-13 00:00:00,883011
2023-05-13 01:00:00,883358
2023-05-13 02:00:00,883670
2023-05-13 03:00:00,884006
2023-05-13 04:00:00,884416
2023-05-13 05:00:00,884787
2023-05-13 06:00:00,885020
2023-05-13 07:00:00,885020
2023-05-13 08:00:00,885101
